code,concept
C136927,Cutaneous Melanoma pM1b TNM Finding v8
C136934,Cutaneous Melanoma pM1d TNM Finding v8
C136940,Cutaneous Melanoma pTis TNM Finding v8
C136946,Cutaneous Melanoma pT2b TNM Finding v8
C136958,Cutaneous Melanoma pN1c TNM Finding v8
C137645,Cutaneous Melanoma by AJCC v8 Stage
C140569,Conjunctival Melanoma cT2 TNM Finding v8
C140571,Conjunctival Melanoma cT2b TNM Finding v8
C140578,Conjunctival Melanoma cT3d TNM Finding v8
C140582,Conjunctival Melanoma pM1 TNM Finding v8
C140589,Conjunctival Melanoma pT1b TNM Finding v8
C140590,Conjunctival Melanoma pT2 TNM Finding v8
C140598,Conjunctival Melanoma pT4 TNM Finding v8
C140616,Uveal Melanoma pM1c TNM Finding v8
C140621,Iris Melanoma pT1c TNM Finding v8
C140625,Iris Melanoma pT2c TNM Finding v8
C140672,Uveal Melanoma by AJCC v7 Stage
C213775,Unresectable Non-Sun Exposed Skin Melanoma
C48838,Cutaneous Melanoma Pathologic TNM Finding v6
C6861,Choroid Spindle Cell Type A Melanoma
C7987,Uveal Spindle Cell Type A Melanoma
C7988,Uveal Spindle Cell Type B Melanoma
C88381,Cutaneous Melanoma pTX TNM Finding v7
C88382,Cutaneous Melanoma pT1 TNM Finding v7
C88392,Cutaneous Melanoma pN2b TNM Finding v7
C88397,Cutaneous Melanoma pM1b TNM Finding v7
C88398,Cutaneous Melanoma Clinical TNM Finding v7
C88400,Cutaneous Melanoma cNX TNM Finding v7
C88404,Cutaneous Melanoma cN3 TNM Finding v7
C88408,Cutaneous Melanoma cM1a TNM Finding v7
C178521,Pharyngeal Mucosal Melanoma
C178522,Nasopharyngeal Mucosal Melanoma
C188185,Adrenal Cortical Melanoma
C4236,Epithelioid Cell Melanoma
C16317,B16 Malignant Melanoma
C194876,"Melanoma in Situ of Eyelid, Including Canthus"
C213774,Non-Sun Exposed Skin Melanoma
C8790,Stage I Low-CSD Melanoma AJCC v7
C176905,Melanoma-Astrocytoma Syndrome
C215044,Melanoma In Situ
C137664,Pathologic Stage IA Cutaneous Melanoma AJCC v8
C137665,Pathologic Stage IB Cutaneous Melanoma AJCC v8
C64124,Melanotic Malignant Melanoma of the Rat Skin
C48844,Cutaneous Melanoma pT1b TNM Finding v6
C48862,Cutaneous Melanoma pN2c TNM Finding v6
C48868,Cutaneous Melanoma pM1b TNM Finding v6
C48848,Cutaneous Melanoma pT3 TNM Finding v6 and v7
C88135,Stage IIA Uveal Melanoma AJCC v7
C140557,Conjunctival Melanoma Clinical TNM Finding v8
C140563,Conjunctival Melanoma cT0 TNM Finding v8
C140566,Conjunctival Melanoma cT1b TNM Finding v8
C140568,Conjunctival Melanoma cT1d TNM Finding v8
C140573,Conjunctival Melanoma cT2d TNM Finding v8
C140576,Conjunctival Melanoma cT3b TNM Finding v8
C140577,Conjunctival Melanoma cT3c TNM Finding v8
C140587,Conjunctival Melanoma pT1 TNM Finding v8
C140593,Conjunctival Melanoma pT3 TNM Finding v8
C140594,Conjunctival Melanoma pT3a TNM Finding v8
C140595,Conjunctival Melanoma pT3b TNM Finding v8
C140606,Uveal Melanoma cM0 TNM Finding v8
C140607,Uveal Melanoma cM1 TNM Finding v8
C140611,Uveal Melanoma Pathologic TNM Finding v8
C140614,Uveal Melanoma pM1a TNM Finding v8
C140615,Uveal Melanoma pM1b TNM Finding v8
C140620,Iris Melanoma pT1b TNM Finding v8
C140623,Iris Melanoma pT2a TNM Finding v8
C140653,Uveal Melanoma pN1 TNM Finding v8
C140655,Uveal Melanoma pN1b TNM Finding v8
C194158,Malignant Melanoma of Skin of Breast
C206644,Uveal Melanoma CAP Synoptic Pathology Report
C212038,Metastatic Cutaneous Melanoma of the Extremity
C213511,Metastatic Melanoma in the Temporal Bone
C213776,Metastatic Non-Sun Exposed Skin Melanoma
C214950,Locally Advanced Unresectable Non-Cutaneous Melanoma
C2430,Sargramostim Plasmid DNA Melanoma Vaccine Adjuvant
C27919,Old Burn Scar-Related Cutaneous Melanoma
C6862,Choroid Spindle Cell Type B Melanoma
C73998,ALVAC(2) Melanoma Multi-antigen Vaccine
C88379,Cutaneous Melanoma Pathologic TNM Finding v7
C88393,Cutaneous Melanoma pN2c TNM Finding v7
C88409,Cutaneous Melanoma cM1b TNM Finding v7
C11355,Peptide 946 Melanoma Vaccine/QS21/Tetanus Peptide Melanoma Vaccine
C133187,Head and Neck Mucosal Melanoma
C157925,Mohs Surgery for Non-Melanoma
C158015,Topical Medications for Non-Melanoma
C171220,Personal History of Cutaneous Melanoma
C190138,Locally Advanced Unresectable Uveal Melanoma
C215389,Metastatic Melanoma in the Myocardium
C2745,B7 Transfected Melanoma Cell Vaccine
C40001,Ovarian Dermoid Cyst with Melanoma
C6117,Ciliary Body Spindle Cell Melanoma
C155305,Cutaneous Melanoma of the Extremity
C137662,Pathologic Stage 0 Cutaneous Melanoma AJCC v8
C37827,Melanoma Helper Peptide Vaccine/Montanide ISA-51/Multi-Epitope Melanoma Peptide Vaccine/Sargramostim
C159575,Other Site of New Primary Melanoma Question
C64049,Malignant Melanoma of the Rat Spinal Meninx
C175435,Recurrent Acral Lentiginous Melanoma
C179427,Metastatic Acral Lentiginous Melanoma
C180895,Advanced Non-Cutaneous Melanoma
C194155,Malignant Melanoma of Nose
C204981,Conjunctival Melanoma In Situ
C205127,De Novo Nodular Melanoma
C222359,Sinclair Swine Cutaneous Melanoma
C35780,Uveal Epithelioid Cell Melanoma
C6102,Choroid Epithelioid Cell Melanoma
C7088,Recurrent Non-Cutaneous Melanoma
C7090,Regressing Non-Cutaneous Melanoma
C91722,4-Peptide Melanoma Vaccine
C4235,Melanoma Arising in Giant Congenital Nevus
C11706,BCG/Polyvalent Melanoma Vaccine
C158833,Non-Melanoma Related Only Event Occurred after Initial Treatment
C136899,Cutaneous Melanoma cM1a(1) TNM Finding v8
C136907,Cutaneous Melanoma cM1d(0) TNM Finding v8
C136928,Cutaneous Melanoma pM1b(0) TNM Finding v8
C136932,Cutaneous Melanoma pM1c(1) TNM Finding v8
C174506,Iris Mixed Epithelioid and Spindle Cell Melanoma
C35781,Uveal Mixed Epithelioid and Spindle Cell Melanoma
C35782,Choroid Mixed Epithelioid and Spindle Cell Melanoma
C22054,Malignant Melanoma of the Mouse Nervous System
C64048,Malignant Melanoma of the Rat Cerebral Meninx
C7091,Digestive System Mucosal Melanoma
C88628,Melanoma of the Conjunctiva pT3 TNM Finding v7
C88629,Melanoma of the Conjunctiva pT4 TNM Finding v7
C88635,Melanoma of the Conjunctiva pM1 TNM Finding v7
C88640,Melanoma of the Conjunctiva cTX TNM Finding v7
C88654,Melanoma of the Conjunctiva cT3b TNM Finding v7
C88670,Melanoma of the Iris pTX TNM Finding v7
C88677,Melanoma of the Iris pT2a TNM Finding v7
C88680,Melanoma of the Iris pT4 TNM Finding v7
C88708,Melanoma of the Uvea pNX TNM Finding v7
C88710,Melanoma of the Uvea pN1 TNM Finding v7
C88713,Melanoma of the Uvea pM1a TNM Finding v7
C88650,Melanoma of the Conjunctiva cT2c TNM Finding v7
C88651,Melanoma of the Conjunctiva cT2d TNM Finding v7
C136901,Cutaneous Melanoma cM1b(0) TNM Finding v8
C136908,Cutaneous Melanoma cM1d(1) TNM Finding v8
C136925,Cutaneous Melanoma pM1a(0) TNM Finding v8
C136931,Cutaneous Melanoma pM1c(0) TNM Finding v8
C136936,Cutaneous Melanoma pM1d(1) TNM Finding v8
C158836,Site of New Primary Melanoma Question
C86053,Stage IIIC Cutaneous Melanoma AJCC v7
C88415,Stage III Cutaneous Melanoma AJCC v7
C194144,"Malignant Melanoma of Unspecified Eyelid, Including Canthus"
C194145,"Malignant Melanoma of Right Eyelid, Including Canthus"
C194166,Malignant Melanoma of Overlapping Sites of Skin
C6863,Ciliary Body Spindle Cell Type B Melanoma
C155311,Advanced Cutaneous Melanoma of the Extremity
C11583,Incomplete Freund's Adjuvant/Peptide 946-Tetanus Peptide Conjugate Melanoma Vaccine
C104498,Melanoma-Associated Antigen 10
C148245,Unresectable Cutaneous Melanoma
C148514,Metastatic Uveal Melanoma
C148515,Advanced Uveal Melanoma
C165536,Unresectable Mucosal Melanoma
C170954,Recurrent Mucosal Melanoma
C178517,Penile Mucosal Melanoma
C209348,Oligometastatic Cutaneous Melanoma
C215227,Unresectable Anorectal Melanoma
C4225,Cutaneous Nodular Melanoma
C5319,Adult Meningeal Melanoma
C11428,Incomplete Freund's Adjuvant/Peptide 946 Melanoma Vaccine
C53275,Dendritic Melanoma Cell
C62346,Giant Melanoma Cell
C159279,Melanoma Involvement of Regional Cutaneous or Subcutaneous Tissue
C194878,"Melanoma in Situ of Right Eyelid, Including Canthus"
C194890,Melanoma in Situ of Other Parts of Face
C88616,Melanoma of the Conjunctiva pTX TNM Finding v7
C88622,Melanoma of the Conjunctiva pT1b TNM Finding v7
C88624,Melanoma of the Conjunctiva pT2a TNM Finding v7
C88625,Melanoma of the Conjunctiva pT2b TNM Finding v7
C88627,Melanoma of the Conjunctiva pT2c TNM Finding v7
C88632,Melanoma of the Conjunctiva pN0 TNM Finding v7
C88672,Melanoma of the Iris pT1 TNM Finding v7
C88673,Melanoma of the Iris pT1a TNM Finding v7
C88714,Melanoma of the Uvea pM1b TNM Finding v7
C88715,Melanoma of the Uvea pM1c TNM Finding v7
C88716,Melanoma of the Uvea Clinical TNM Finding v7
C136893,Cutaneous Melanoma Clinical TNM Finding v8
C136906,Cutaneous Melanoma cM1d TNM Finding v8
C136916,Cutaneous Melanoma cN2b TNM Finding v8
C136941,Cutaneous Melanoma pT1 TNM Finding v8
C136949,Cutaneous Melanoma pT3b TNM Finding v8
C136951,Cutaneous Melanoma pT4a TNM Finding v8
C136952,Cutaneous Melanoma pT4b TNM Finding v8
C136959,Cutaneous Melanoma pN2 TNM Finding v8
C128801,Hereditary Melanoma with CDKN2A Mutation
C11590,ALVAC-hB7.1/Canarypox-hIL-12 Melanoma Vaccine
C137648,Clinical Stage I Cutaneous Melanoma AJCC v8
C137651,Clinical Stage II Cutaneous Melanoma AJCC v8
C137663,Pathologic Stage I Cutaneous Melanoma AJCC v8
C64104,Amelanotic Malignant Melanoma of the Rat Skin
C158835,Histological Type of New Non-Melanoma Tumor Event Question
C116072,Autologous CD8+ Melanoma Specific T Cells
C140559,Conjunctival Melanoma cM0 TNM Finding v8
C140562,Conjunctival Melanoma cTX TNM Finding v8
C140564,Conjunctival Melanoma cT1 TNM Finding v8
C140572,Conjunctival Melanoma cT2c TNM Finding v8
C140584,Conjunctival Melanoma pTX TNM Finding v8
C140585,Conjunctival Melanoma pT0 TNM Finding v8
C140586,Conjunctival Melanoma pTis TNM Finding v8
C140588,Conjunctival Melanoma pT1a TNM Finding v8
C140591,Conjunctival Melanoma pT2a TNM Finding v8
C140597,Conjunctival Melanoma pT3d TNM Finding v8
C140600,Conjunctival Melanoma pNX TNM Finding v8
C140601,Conjunctival Melanoma pN0 TNM Finding v8
C140629,Iris Melanoma pT4b TNM Finding v8
C150130,Uveal Melanoma Metastatic in the Liver
C66756,Mixed Epithelioid and Spindle Cell Melanoma
C88383,Cutaneous Melanoma pT1a TNM Finding v7
C88388,Cutaneous Melanoma pN1a TNM Finding v7
C88391,Cutaneous Melanoma pN2a TNM Finding v7
C88396,Cutaneous Melanoma pM1a TNM Finding v7
C88402,Cutaneous Melanoma cN1 TNM Finding v7
C88410,Cutaneous Melanoma cM1c TNM Finding v7
C88666,Melanoma of the Uvea TNM Finding v7
C194880,"Melanoma in Situ of Right Lower Eyelid, Including Canthus"
C194884,Melanoma in Situ of Ear and External Auricular Canal
C194898,"Melanoma in Situ of Right Upper Limb, Including Shoulder"
C127930,Melanoma Antigen Preferentially Expressed in Tumors
C193225,mCode Melanoma In-Situ Disorder Value Set
C11658,Montanide ISA-51/Peptide 946 melanoma vaccine/Tetanus peptide melanoma vaccine
C194146,"Malignant Melanoma of Right Upper Eyelid, Including Canthus"
C194147,"Malignant Melanoma of Right Lower Eyelid, Including Canthus"
C194165,"Malignant Melanoma of Left Lower Limb, Including Hip"
C2469,Peptide 946-Tetanus Peptide Conjugate Melanoma Vaccine/QS21
C158832,Melanoma Related Only Event Occurred after Initial Treatment
C48843,Cutaneous Melanoma pT1a TNM Finding v6
C48854,Cutaneous Melanoma pNX TNM Finding v6
C48866,Cutaneous Melanoma pM1 TNM Finding v6
C48867,Cutaneous Melanoma pM1a TNM Finding v6
C35783,Ciliary Body Mixed Epithelioid and Spindle Cell Melanoma
C5580,Stage IV Uveal Melanoma AJCC v7
C88137,Stage IIIA Uveal Melanoma AJCC v7
C48841,Cutaneous Melanoma pTis TNM Finding v6 and v7
C48863,Cutaneous Melanoma pN3 TNM Finding v6 and v7
C104519,Melanoma-Associated Antigen 6
C154473,Melanoma of Unknown Primary
C38700,Melanoma Helper Peptide Vaccine
C41053,Melanoma-Associated Antigen 12
C194879,"Melanoma in Situ of Right Upper Eyelid, Including Canthus"
C194882,"Melanoma in Situ of Left Upper Eyelid, Including Canthus"
C194901,"Melanoma in Situ of Unspecified Lower Limb, Including Hip"
C194902,"Melanoma in Situ of Right Lower Limb, Including Hip"
C88642,Melanoma of the Conjunctiva cT(is) TNM Finding v7
C88660,Melanoma of the Conjunctiva cN0a (Biopsy) TNM Finding v7
C9096,Stage IV Cutaneous Melanoma AJCC v6 and v7
C16662,Harding-Passey Malignant Melanoma
C118512,Cutaneous Melanoma In-Transit Metastasis
C140603,Uveal Melanoma TNM Finding v8
C178437,Female Genital Tract Mucosal Melanoma
C205130,Metastatic Melanoma in the Skin
C207624,Hereditary Melanoma with CDK4 Mutation
C213510,Metastatic Melanoma in the Bone
C2442,Canarypox-hIL-12 Melanoma Vaccine
C38695,Multi-epitope Melanoma Peptide Vaccine
C48639,Synthetic Melanoma-Associated Antigens Vaccine
C6100,Choroid Intermediate Cell Type Melanoma
C6119,Ciliary Body Epithelioid Cell Melanoma
C63524,Regimen Used to Treat Melanoma
C78861,Allogeneic Melanoma Vaccine AGI-101H
C7989,Uveal Intermediate Cell Type Melanoma
C140659,Choroidal and Ciliary Body Melanoma by AJCC v8 Stage
C23098,Melanoma of the Mouse Nose and Paranasal Sinuses
C140661,Stage II Choroidal and Ciliary Body Melanoma AJCC v8
C140663,Stage IIB Choroidal and Ciliary Body Melanoma AJCC v8
C140666,Stage IIIB Choroidal and Ciliary Body Melanoma AJCC v8
C133168,Head and Neck Mucosal Melanoma TNM Finding v8
C140617,Iris Melanoma Pathologic Primary Tumor TNM Finding v8
C48895,Cutaneous Melanoma Pathologic Distant Metastasis TNM Finding v6
C88380,Cutaneous Melanoma Pathologic Primary Tumor TNM Finding v7
C89129,Head and Neck Mucosal Melanoma TNM Finding v7
C204864,Melanoma in Chronically Sun-Exposed Skin
C91380,Melanoma TRP2 CTL Epitope Vaccine SCIB1
C136898,Cutaneous Melanoma cM1a(0) TNM Finding v8
C136902,Cutaneous Melanoma cM1b(1) TNM Finding v8
C136905,Cutaneous Melanoma cM1c(1) TNM Finding v8
C136926,Cutaneous Melanoma pM1a(1) TNM Finding v8
C8784,Stage IV Acral Lentiginous Melanoma AJCC v6 and v7
C194886,Melanoma in Situ of Right Ear and External Auricular Canal
C88634,Melanoma of the Conjunctiva Pathologic Distant Metastasis TNM Finding v7
C88711,Melanoma of the Uvea Pathologic Distant Metastasis TNM Finding v7
C48791,Cutaneous Melanoma TNM Finding v6
C214275,FACT-M Version 4 - Pain at My Melanoma or Surgical Site
C194881,"Melanoma in Situ of Left Eyelid, Including Canthus"
C194895,Melanoma in Situ of Other Part of Trunk
C88617,Melanoma of the Conjunctiva pT0 TNM Finding v7
C88623,Melanoma of the Conjunctiva pT1c TNM Finding v7
C88631,Melanoma of the Conjunctiva pNX TNM Finding v7
C88636,Melanoma of the Conjunctiva Clinical TNM Finding v7
C88641,Melanoma of the Conjunctiva cT0 TNM Finding v7
C88653,Melanoma of the Conjunctiva cT3a TNM Finding v7
C88656,Melanoma of the Conjunctiva cT3d TNM Finding v7
